Rank,Community,Score,Vitality,Equity,Economy,Eduation,Environment,Food & Nutrition,Population Health,Housing,Public Safety,Infrastructure
1,"Los Alamos County, New Mexico",100.0,71.2,85.4,76.1,71.2,91.0,58.2,98.4,91.3,87.2,86.6
2,"Douglas County, Colorado",92.0,80.6,63.7,87.4,66.5,84.5,60.4,95.5,62.0,72.7,93.2
3,"Falls Church city, Virginia",91.5,71.3,45.6,100.0,96.5,65.1,76.9,98.5,34.6,79.1,89.4
4,"Broomfield County, Colorado",87.4,71.8,54.3,96.2,70.6,76.0,55.9,88.2,66.0,68.2,95.4
5,"Routt County, Colorado",86.5,71.1,57.0,76.0,62.6,88.9,69.5,95.1,62.3,70.1,89.1
6,"Loudoun County, Virginia",85.7,80.2,49.7,90.9,82.8,61.9,65.6,90.2,52.4,81.1,72.7
7,"Carver County, Minnesota",85.7,75.3,51.6,97.4,79.9,71.0,44.1,86.0,70.0,75.3,80.9
8,"Pitkin County, Colorado",85.3,64.1,51.1,75.9,60.5,96.6,77.1,90.3,56.5,88.3,80.5
9,"Summit County, Colorado",84.3,61.1,50.9,76.1,74.4,100.0,67.7,96.4,32.8,78.3,93.1
10,"San Miguel County, Colorado",84.2,66.6,41.6,69.1,86.2,90.9,94.6,89.5,34.5,79.4,80.7
11,"Ozaukee County, Wisconsin",83.3,67.6,60.0,82.7,75.6,71.7,53.7,92.1,59.8,76.7,78.1
12,"Hamilton County, Indiana",83.1,77.8,56.4,93.4,78.1,58.6,40.9,83.6,64.0,77.1,85.5
13,"Sioux County, Iowa",82.8,64.6,64.7,72.1,68.9,73.7,53.8,90.9,73.7,78.5,79.6
14,"Delaware County, Ohio",82.4,79.0,61.7,88.1,77.1,57.7,39.6,82.0,73.6,73.4,79.9
15,"Hunterdon County, New Jersey",82.3,66.0,62.0,90.7,92.7,58.3,69.8,85.5,48.4,78.6,52.5
16,"Howard County, Maryland",81.7,64.9,49.4,95.3,81.3,53.5,60.3,90.7,51.8,74.4,83.2
17,"Bremer County, Iowa",81.7,66.9,58.4,69.5,74.3,63.6,58.5,86.6,77.1,71.2,91.4
18,"Grundy County, Iowa",81.5,67.4,67.0,65.7,73.1,66.4,62.0,83.4,72.7,76.0,81.9
19,"Morgan County, Utah",81.1,78.0,52.0,82.2,65.9,72.2,66.6,85.3,72.2,70.3,62.3
20,"Williamson County, Tennessee",80.5,86.5,55.8,94.4,74.1,49.4,47.2,82.6,64.6,66.5,74.2
